9,8.5025,7.4825,8.9075,9.35,8.19,9.1475,8.64,9.3175,4.6075,6.83,7.0525,7.685,8.44,8.89,7.4075,5.92,7.4475,7.6975,8.8825,7.6063,9.025
9.2917,8.8095,7.6369,8.4067,8.5079,8.4405,9.3929,9.0536,9.7083,4.625,7.7817,5,8.2202,9.1766,9.0605,8.3333,6.9395,7.5288,8.0615,8.9246,6.0992,9.1548
8.5626,9.1232,8.9426,8.2303,8.6595,6.2063,8.8637,8.8932,4.8737,5.7379,6.9342,7.8132,7.5789,8.2863,8.9884,8.7511,7.9058,8.2529,7.2426,9.5795,9.0295,9.0268
4.7621,8.4563,8.5189,7.0458,7.9482,4.7411,7.8242,8.1984,7.2821,4.8163,3.0663,2.5126,8.1932,8.4489,8.8589,8.2968,6.9345,8.2216,7.8087,8.9497,7.7679,7.9634
5.4216,9.2511,9.1511,7.5874,8.8518,7.9537,9.24,9.1784,5.5105,5.2337,7.8426,8.2347,8.2879,8.8558,8.6526,8.8295,8.25,8.7592,8.0574,8.99,8.5124,8.6445
6.1779,5,9.7621,7.8745,9.3282,9.5579,9.7405,9.7579,9.8468,7.1711,8.5342,8.7442,9.7516,9.8126,9.8584,9.2311,9.2105,9.4911,9.4942,9.9534,9.6545,9.5455
8.7889,9.9821,9.8316,9.7024,9.9684,8.8316,9.9763,9.9916,9.9858,3.8111,8.8147,8.8837,9.3474,9.9447,9.8255,9.575,9.1113,9.9358,9.795,9.9863,9.8884,9.9816
7.2811,5,8.5216,7.9403,8.8516,5.4442,8.9037,9.4042,5.6092,4.76,5,7.6121,6.8189,8.5342,8.7647,9.3053,7.8895,8.6782,7.2497,9.6897,9.0961,9.2708
5.9363,9.3221,9.2637,7.8297,8.8703,8.5911,9.4074,9.4026,9.5811,8.1179,8.7316,9.0195,9.1026,9.3579,9.2795,8.1774,8.8437,8.7689,9.3553,9.7479,9.1474,9.5642
5.3634,5,9.7419,7.3119,8.4688,9.6192,9.9653,5,5,4.9954,5,8.081,9.5058,8.7454,9.2245,9.7946,6.6238,7.9184,8.4606,5.6036,9.1597,9.8565
5.9676,6.4745,8.7049,6.4497,7.7633,5,7.3553,5,5,5.7535,7.3507,7.5428,7.603,7.1169,8.5162,8.5862,7.2975,7.3727,6.9653,7.0914,8.2072,8.3547
5.9502,6.1354,8.8669,6.2037,7.1516,8.4873,8.3461,5,5,4.5498,6.8623,6.8843,8.7002,7.588,8.0984,8.8953,6.6725,7.2639,6.3056,5.9931,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5.6618,5.8456,5,8.9706,9.1912,6.25,9.0441,5,6.0294,9.2647,7.3529,9.0441,8.1618,7.0588,5,5,5,4.5588,5,5
5,5,7.5238,7,6.381,8.7619,8.9524,7.3333,7.7143,5,7.0476,8.5714,7.1429,8.6667,8.381,8.4762,5,5,5,8.9524,5,2.9524
5,8.5714,8.318,4.5161,5.1382,8.0184,9.2396,8.1106,8.7558,5,3.5023,9.3548,6.9355,8.9862,8.0184,8.5253,5,5,5,8.1106,5,3.3641
6,6.1818,6.8485,5.3333,7.5152,8.1212,8.2424,8.4242,7.4545,5,6.1818,8.8485,7,9.9394,8.5455,9.3939,5,5,5,6.1818,3.6364,6.1818
4.68,5.2,5,7.6,5,7.5,3.88,8.24,5,4.72,9,9.04,8.64,8.88,8.4,7.64,6.36,4.96,6.04,5,7.16,8.68
5.8667,5.205,5.0267,6.335,6.455,7.2067,5.3117,5.0267,6.1233,5.2067,7.5767,7.2333,7.345,5.8067,6.33,6.3033,5.4,5,5.6067,5.065,7.3767,6.9117
4.56,4.36,4.9,6.3,7.4,6.2,5.08,6.52,5.92,5.6,7.44,7.4,6.88,7.24,6.72,6.64,6.4,5,5.44,5,7.24,6.78
5,6.76,6.125,6.005,6.21,5.195,6.865,6.19,6.68,5.755,5.195,5.535,5.265,5.505,5.76,6.09,5.425,5.42,5.405,6.43,6.005,6.575
7.92,5,8.7,7.03,8.095,8.2,8.72,8.23,8.46,4.16,7.415,7.805,8.07,7.72,7.51,7.555,7.505,6.665,7.225,7.83,7.98,8.045
5,8.85,8.88,7.95,8.655,8.305,9.07,8.61,8.84,7.47,8.35,9.05,8.255,8.925,8.935,8.655,7.155,7.165,7.595,8.66,7.84,8.49
9.4483,9.8389,9.4331,9.2324,9.6197,5,5,9.4178,9.8739,4.3287,8.1448,5,9.2101,9.5741,9.3735,9.504,9.7493,9.6651,9.8353,6.9764,8.0883,4.2807
4.8431,6.1575,8.1746,5.4354,5.3146,5,5,7.6011,7.3012,8.0276,5.6042,5,7.0656,7.0925,5.2053,6.5895,6.5539,8.5043,8.1759,8.8125,7.6673,8.4626
8.9597,6.7401,8.8127,8.1378,8.1977,5.0085,6.0337,7.6728,7.2126,2.1479,2.2727,5,5.8913,7.5733,6.2448,9.1352,8.1554,8.5757,8.2775,8.4285,8.6423,8.4377
5,6.1667,5,5.9167,5.8333,6.3333,6.5,7.3333,4.8333,4.1667,3.5,2.3333,6.1667,6.8333,5.8333,6.3333,6.5833,5,7.6667,8.8333,5.5,6.9167
9.4323,9.4473,9.4897,8.2852,9.1136,8.6348,9.2804,9.5245,9.6074,3.9077,5,5,8.6707,9.258,8.7383,9.422,8.405,8.8217,8.7214,8.8826,9.3853,9.2915
6.8476,9.8275,9.3785,9.5292,9.7872,9.5692,9.9215,9.9086,9.9086,4.5033,8.4866,8.5635,9.6459,9.4214,9.6325,9.9124,9.0315,9.6165,9.7761,9.8273,9.9273,9.8678
8.8382,9.5303,8.9411,8.4356,9.2148,7.9951,9.2891,9.2499,9.5411,5.113,7.0437,8.3274,8.7992,9.1531,9.015,9.4113,8.079,8.25,9.1626,9.3928,9.4678,9.4431
3.5655,9.8685,9.8805,8.4005,9.4889,9.266,9.8033,9.6617,9.8514,6.8004,8.0838,9.6218,9.1307,9.6277,9.3682,9.5712,9.3741,9.4904,8.5508,9.481,9.7546,9.6524
7.6439,7.5558,7.928,6.9834,7.8262,8.3763,8.3973,6.3681,6.5121,5.9255,6.6433,7.9501,8.1943,8.011,7.6974,5.7598,7.7813,7.9855,5.4886,6.3166,2.71,7.2894
9.625,5,8.2778,6.7778,7.2778,8.8889,8.8889,8.8889,7.7222,8.1111,7.3889,8.8056,5.2917,8.9722,8.8056,9.4444,5.3333,6.1667,5,8.0556,5.1944,8.2222
5,5,7.4278,6.2156,6.6491,7.59,7.176,7.0025,6.9896,5,4.1509,3.878,7.6912,6.831,7.0148,7.402,5.6776,6.389,5,6.6562,6.7723,5
9,10,10,9.5,10,7,7,10,10,3,1,1,10,9,10,10,6.5,9,8.5,2.5,10,10
5,5,6,2,3,6,5,2,5,9,7,8,4,0,4,2,2.5,6,5,4.5,3,3
10,10,6,8.5,10,7,5,9,9,0,3,1,9,7,6,7,6.5,10,6.5,7,10,8.5
5,9,7,5.125,5,9.25,9.25,10,6.125,2,5,4.25,10,9.25,4.75,9.25,7.375,5.75,7.5,2,7.75,7
4.7778,8.2222,7.2222,9.4444,9.4444,8.3333,2.8889,10,5,7.1111,1.3333,1,3.3333,5.3333,10,10,7.3333,10,8,5.7222,9.8889,10
6.5556,4.4444,5.7778,4.8889,5.7222,6.5556,5,5.8889,5,5.6667,4.2222,4.2222,4.5556,5.7778,4.7778,7.7778,3.7778,5.6667,6.2222,5.2778,5.7778,6.5
