0,0.82104,1.0589,1.8522,1.2456,1.406,1.1978,1.1543,1.233,1.741,1.5637,1.7243,2.9152,1.9266,1.7117,1.9107,1.5487,2.4898,2.2342,2.5863,2.0882,1.3082,1.238,1.8869,2.56,1.7692,4.2283,0.95743,1.2889,0.86782,1.5099,1.3571,1.7624,1.9018,3.9852,8.5736,4.4516,3.7751,3.2709,3.3878
0.82104,0,0.97657,1.4005,1.0338,1.2766,1.0885,1.1878,0.98162,1.7246,1.5082,1.5323,2.8508,1.8084,1.5608,1.7745,1.3348,2.3494,2.3431,2.5345,2.0716,1.1651,1.0179,1.515,2.3447,1.6492,4.1771,0.66998,1.1471,0.75821,1.303,1.1098,1.6243,1.6254,3.3306,9.0501,4.6486,3.3802,3.068,3.5049
1.0589,0.97657,0,1.0574,0.36235,1.0877,0.99938,0.42989,0.67548,1.1468,0.73895,1.2456,2.4693,1.9022,1.4415,1.59,1.2808,1.9321,1.9938,1.9517,1.7124,0.85182,0.75814,1.5055,1.7647,1.1696,3.7643,0.65767,1.0301,0.56689,0.93367,0.97741,1.4365,1.4565,3.6027,8.2493,4.5238,3.3484,2.481,3.144
1.8522,1.4005,1.0574,0,1.1497,2.0873,2.3281,1.0709,1.5282,1.65,1.0259,1.605,1.9633,1.959,1.6634,1.5425,1.5277,2.387,2.273,2.0372,1.4106,1.3797,1.3732,1.8813,1.5203,1.189,3.1503,0.99761,2.1595,1.5694,1.6985,1.4139,2.2467,0.87177,2.9831,8.4488,4.0193,2.9327,1.9104,2.8327
1.2456,1.0338,0.36235,1.1497,0,0.8816,0.90874,0.6372,0.50729,0.93599,0.7909,1.1553,2.5977,1.6885,1.2794,1.4423,1.1589,1.762,2.104,1.8895,1.7852,0.90202,0.51096,1.5321,1.9091,1.4651,3.8042,0.7366,0.79675,0.60484,0.53562,0.94114,1.6743,1.407,3.7675,8.4133,4.7135,2.986,2.6973,3.4527
1.406,1.2766,1.0877,2.0873,0.8816,0,0.64878,0.99426,0.47235,1.2348,1.592,1.8716,4.0075,2.2625,1.8647,2.3274,1.878,2.6172,2.794,2.9151,2.9934,1.0969,0.81605,1.9123,2.3942,2.2515,4.8912,0.98839,0.51451,0.58593,0.53276,1.7283,1.8917,2.2797,4.4505,9.5819,5.7149,4.2453,3.6615,4.472
1.1978,1.0885,0.99938,2.3281,0.90874,0.64878,0,1.2458,0.67581,1.7169,2.0023,2.2919,4.7767,2.9996,2.5369,2.7422,2.3907,3.1569,3.4472,3.5861,3.5292,1.4228,1.1214,1.497,3.2606,2.1545,5.456,0.67357,0.24673,0.31127,0.70343,2.0395,2.4709,2.9958,4.1906,10.771,5.1979,4.3103,3.992,5.2667
1.1543,1.1878,0.42989,1.0709,0.6372,0.99426,1.2458,0,1.0557,0.9101,0.76138,1.2792,2.2855,1.7787,1.3615,1.6257,1.2295,1.8713,2.0049,1.8567,1.6833,0.80146,1.0191,1.8376,1.7615,0.98726,3.4771,0.84709,1.258,0.78552,1.2131,1.2051,1.511,1.2757,3.7197,8.1677,4.6871,3.3864,2.4643,2.8862
1.233,0.98162,0.67548,1.5282,0.50729,0.47235,0.67581,1.0557,0,1.4007,1.2649,1.7906,3.5081,2.0236,1.6978,1.8479,1.6117,2.293,2.6161,2.5708,2.4306,0.99763,0.42712,1.6197,1.9665,2.05,4.5893,0.74355,0.5784,0.46843,0.21285,1.3054,1.7123,2.0108,3.9332,9.1854,5.3335,3.7959,3.2724,4.1796
1.741,1.7246,1.1468,1.65,0.93599,1.2348,1.7169,0.9101,1.4007,0,0.89895,0.96254,2.5369,1.4947,1.5453,1.8183,1.3441,1.8897,1.9004,2.0486,2.0169,1.0882,1.1666,2.5934,2.2843,1.8239,3.9912,1.3097,1.5373,1.2438,1.3962,1.257,1.9575,1.407,3.9622,8.2275,5.2743,3.0716,3.0632,3.1403
1.5637,1.5082,0.73895,1.0259,0.7909,1.592,2.0023,0.76138,1.2649,0.89895,0,0.78946,1.3565,1.2547,1.121,1.4021,1.0076,1.4091,1.2169,1.1874,1.0261,0.88332,0.9158,1.9282,1.4315,1.2749,3.2481,1.3878,1.9032,1.3294,1.522,0.80567,1.5849,0.87934,4.1139,6.7702,4.8128,3.1901,2.6397,2.2695
1.7243,1.5323,1.2456,1.605,1.1553,1.8716,2.2919,1.2792,1.7906,0.96254,0.78946,0,1.3091,0.82975,0.69312,0.99764,0.70503,1.5576,1.1988,1.3529,1.1873,1.088,1.313,2.0771,1.9979,1.7604,3.2013,1.6634,2.1836,1.6326,2.0106,0.58843,1.649,0.74473,4.3475,6.3532,5.2575,2.829,3.3472,2.2181
2.9152,2.8508,2.4693,1.9633,2.5977,4.0075,4.7767,2.2855,3.5081,2.5369,1.3565,1.3091,0,1.0797,1.3317,1.4962,1.3139,1.7172,0.91417,1.0173,0.51148,1.929,2.6369,3.5403,1.6803,2.0693,2.6757,3.2472,4.518,3.4124,4.0037,1.2961,2.4791,0.65476,5.4,4.55,5.35,3.3734,3.2448,1.3843
1.9266,1.8084,1.9022,1.959,1.6885,2.2625,2.9996,1.7787,2.0236,1.4947,1.2547,0.82975,1.0797,0,0.37007,0.50086,0.31882,1.3316,1.1217,1.1611,1.0386,1.1065,1.3589,2.9076,2.1358,2.2997,3.4448,2.1774,2.7634,2.0735,2.2597,0.72451,1.4277,0.70946,4.8021,5.9996,5.6793,2.8141,3.9596,2.2523
